Strength,distance
-45,1.202264435
-45,1.202264435
-45,1.202264435
-43,1
-43,1
-43,1
-44,1.096478196
-44,1.096478196
-44,1.096478196
-43,1
-43,1
-43,1
-43,1
-43,1
-43,1
-43,1
-43,1
-43,1
-43,1
-43,1
-43,1
-43,1
-43,1
-43,1
-45,1.202264435
-45,1.202264435
-45,1.202264435
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-43,1
-43,1
-43,1
-43,1
-43,1
-43,1
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-49,1.737800829
-49,1.737800829
-49,1.737800829
-44,1.096478196
-44,1.096478196
-44,1.096478196
-45,1.202264435
-45,1.202264435
-45,1.202264435
-45,1.202264435
-45,1.202264435
-45,1.202264435
-44,1.096478196
-44,1.096478196
-44,1.096478196
-43,1
-43,1
-43,1
-43,1
-43,1
-43,1
-44,1.096478196
-44,1.096478196
-44,1.096478196
-43,1
-43,1
-43,1
-44,1.096478196
-44,1.096478196
-44,1.096478196
-43,1
-43,1
-43,1
-44,1.096478196
-44,1.096478196
-44,1.096478196
-45,1.202264435
-45,1.202264435
-45,1.202264435
-45,1.202264435
-45,1.202264435
-45,1.202264435
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-43,1
-43,1
-43,1
-43,1.096478196
-44,1.096478196
-44,1.096478196
