Strength,distance
-46,1.318256739
-46,1.318256739
-46,1.318256739
-44,1.096478196
-44,1.096478196
-44,1.096478196
-43,1
-43,1
-43,1
-45,1.202264435
-45,1.202264435
-45,1.202264435
-46,1.318256739
-46,1.318256739
-46,1.318256739
-44,1.096478196
-44,1.096478196
-44,1.096478196
-43,1
-43,1
-43,1
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-46,1.318256739
-46,1.318256739
-46,1.318256739
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-45,1.202264435
-45,1.202264435
-45,1.202264435
-44,1.096478196
-44,1.096478196
-44,1.096478196
-45,1.202264435
-45,1.202264435
-45,1.202264435
-45,1.202264435
-45,1.202264435
-45,1.202264435
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-45,1.202264435
-45,1.202264435
-45,1.202264435
-47,1.445439771
-47,1.445439771
-47,1.445439771
-53,2.511886432
-53,2.511886432
-53,2.511886432
-54,2.754228703
-54,2.754228703
-54,2.754228703
-45,1.202264435
-45,1.202264435
-45,1.202264435
-45,1.202264435
-45,1.202264435
-45,1.202264435
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
-44,1.096478196
